,dr7objid,ra,dec,p_bar,psi_sparcfire,psi_gz2,logMstar,NSAID,ISDSS,INED,IAUNAME,Z,ZDIST,SERSIC_BA,SERSIC_PHI,PETRO_THETA,PETRO_BA90,PETRO_PHI90,PETRO_BA50,PETRO_PHI50,RUN,CAMCOL,FIELD,RERUN,ELPETRO_MASS,SERSIC_MASS,t01_smooth_or_features_a02_features_or_disk_debiased,t02_edgeon_a05_no_debiased,t04_spiral_a08_spiral_debiased,t11_arms_number_a31_1_flag,t11_arms_number_a32_2_flag,t11_arms_number_a33_3_flag,t11_arms_number_a34_4_flag,t11_arms_number_a36_more_than_4_flag,t11_arms_number_a37_cant_tell_flag
949,588011219682984264,241.7901,47.731937,0.2644212087527989,24.565711975097656,17.52536938774043,10.362681317915387,142340.0,145732.0,175640.0,J160709.62+474354.9,0.033327714,0.033838905,0.73378867,88.78229,17.59708,0.7895039,90.583405,0.8635439,96.795044,2326.0,6.0,294.0,301,7514716700.0,9317442000.0,0.9980000257492065,1.0,1.0,0,0,0,0,0,0
950,587725550659633284,123.20822,47.44266,0.06460974808481311,23.36276817321777,20.15137489290905,10.421624535855264,48599.0,49066.0,54098.0,J081249.97+472633.6,0.039593887,0.039858516,0.6788373,88.45581,16.057394,0.74748474,86.31943,0.8239176,94.49295,1350.0,2.0,125.0,301,11222619000.0,14873312000.0,0.9750000238418579,1.0,1.0,0,0,0,0,0,0
951,588017115048771609,198.86821,46.385563,0.7398258405773409,-999.0,24.920269924622396,11.014369624174517,301249.0,306455.0,134170.0,J131528.36+462308.0,0.054582674,0.05480922,0.4743466,79.60571,6.2458673,0.7173951,82.950134,0.8842591,90.30557,3699.0,3.0,85.0,301,39364186000.0,49706095000.0,0.8870000243186951,0.89664798600551,0.9998523058142288,0,1,0,0,0,0
952,588017704531853432,158.29305,11.89056,0.1630076498076712,29.837804794311523,21.011669936002,10.265508264902428,320850.0,326094.0,85654.0,J103310.33+115326.0,0.032832697,0.032378264,0.3832461,25.675232,14.403017,0.5082962,24.781464,0.711573,26.080414,3836.0,5.0,67.0,301,6056792000.0,6690038000.0,0.9980000257492065,0.8551233461130567,1.0,0,0,0,0,0,0
953,587735349099954217,156.44897,13.749120000000001,0.218560439032006,-999.0,16.948954128120207,10.37170734280793,362149.0,367487.0,83418.0,J102547.75+134456.8,0.031628482,0.03120618,0.81591356,164.23233,14.373295,0.8444101,164.32117,0.8506055,164.67096,3631.0,5.0,267.0,301,10469625000.0,11719434000.0,0.8809999823570251,0.938375768433826,0.9815855804178275,0,0,0,0,0,0
954,587739646207393894,165.33093,29.940464000000002,0.3778237660040779,-999.0,21.305440626087023,10.930031333708794,421641.0,426994.0,93912.0,J110119.42+295625.6,0.051888254,0.05173939,0.643722,173.33936,12.139712,0.67773485,173.1148,0.8240842,151.90518,4632.0,1.0,155.0,301,28842668000.0,33681463000.0,1.0,0.9816753151919139,0.9988675691371521,0,0,0,0,0,0
955,587735665855234136,245.82417,37.215546,0.012669438945274107,-999.0,17.712348153986973,10.08504833769724,263339.0,268529.0,179229.0,J162317.80+371255.9,0.03306334,0.03348498,0.85438573,97.64572,16.52349,0.8929597,98.3891,0.9486313,59.279205,4629.0,2.0,150.0,301,8306213000.0,10030226000.0,0.8809999823570251,0.9517869738538538,1.0,0,0,0,0,0,0
956,587741532771189079,135.96652,20.552502,0.03284201759697518,23.469913482666016,17.533440836001276,10.245625902468957,490817.0,496190.0,62849.0,J090351.96+203309.0,0.03210366,0.031857252,0.7671445,29.880127,12.66324,0.8251866,28.09076,0.8932067,26.523163,5071.0,3.0,146.0,301,7725576700.0,10740025000.0,0.8949999809265137,0.9719805943330692,0.9816533280525276,0,0,0,0,0,0
957,587734621102080063,148.58286,40.110626,0.5463728167644682,-999.0,19.38097562400056,10.740124237871196,233993.0,238534.0,73927.0,J095419.88+400638.2,0.049773652,0.04982227,0.5448505,179.96625,8.214783,0.6685191,179.33319,0.8844331,3.8575134,3606.0,6.0,164.0,301,23944477000.0,27553264000.0,0.8889999985694885,1.0,0.9985670228974332,0,0,0,0,0,0
958,587739708487172208,224.55186,24.833548,0.06401024459917817,-999.0,16.278177949768608,10.475032162056584,459494.0,464857.0,-1.0,J145812.45+245000.8,0.033569075,0.03362976,0.60009724,76.23181,14.320828,0.7081301,76.47812,0.8546426,86.20303,4646.0,5.0,197.0,301,9050251000.0,12234659000.0,0.9070000052452087,1.0,0.9916336280446284,0,0,0,0,0,0
